[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /img/*filepath            --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /img/*filepath            --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] GET    /js/*filepath             --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /js/*filepath             --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] GET    /css/*filepath            --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /css/*filepath            --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] GET    /                         --> GoWebCrawler/src/web/controller.HomeIndex (3 handlers)
[GIN] 2020/02/19 - 13:36:17 | 200 |     150.433µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 13:36:18 | 200 |     542.624µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 13:36:19 | 200 |     117.986µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 13:36:20 | 200 |     112.388µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 13:36:20 | 200 |      124.58µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 13:49:05 | 200 |     159.749µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 13:49:05 | 200 |    2.813157ms |       127.0.0.1 | GET      /css/bootstrap.min.css
[GIN] 2020/02/19 - 13:49:05 | 200 |      274.86µs |       127.0.0.1 | GET      /js/jquery.slim.min.js
[GIN] 2020/02/19 - 13:49:05 | 200 |     120.427µs |       127.0.0.1 | GET      /js/popper.min.js
[GIN] 2020/02/19 - 13:49:05 | 200 |     253.864µs |       127.0.0.1 | GET      /js/bootstrap.min.js
[GIN] 2020/02/19 - 13:49:09 | 404 |      40.414µs |       127.0.0.1 | GET      /js/popper.min.js.map
[GIN] 2020/02/19 - 13:49:09 | 200 |     282.029µs |       127.0.0.1 | GET      /js/bootstrap.min.js.map
[GIN] 2020/02/19 - 13:49:09 | 200 |    1.046896ms |       127.0.0.1 | GET      /css/bootstrap.min.css.map
[GIN] 2020/02/19 - 13:49:27 | 200 |     409.804µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 13:49:27 | 304 |      69.689µs |       127.0.0.1 | GET      /js/jquery.slim.min.js
[GIN] 2020/02/19 - 13:49:27 | 304 |      30.552µs |       127.0.0.1 | GET      /js/popper.min.js
[GIN] 2020/02/19 - 13:49:27 | 404 |      12.357µs |       127.0.0.1 | GET      /js/popper.min.js.map
[GIN] 2020/02/19 - 13:50:22 | 200 |     293.004µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 13:50:22 | 200 |    2.432475ms |       127.0.0.1 | GET      /css/bootstrap.min.css
[GIN] 2020/02/19 - 13:50:22 | 200 |     236.613µs |       127.0.0.1 | GET      /js/jquery.slim.min.js
[GIN] 2020/02/19 - 13:50:22 | 200 |     153.409µs |       127.0.0.1 | GET      /js/popper.min.js
[GIN] 2020/02/19 - 13:50:22 | 200 |     225.028µs |       127.0.0.1 | GET      /js/bootstrap.min.js
[GIN] 2020/02/19 - 13:50:22 | 200 |    1.556651ms |       127.0.0.1 | GET      /css/bootstrap.min.css.map
[GIN] 2020/02/19 - 13:50:22 | 200 |     230.643µs |       127.0.0.1 | GET      /js/popper.min.js.map
[GIN] 2020/02/19 - 13:50:22 | 200 |     375.362µs |       127.0.0.1 | GET      /js/bootstrap.min.js.map
[GIN] 2020/02/19 - 13:50:22 | 404 |       2.493µs |       127.0.0.1 | GET      /favicon.ico
[GIN] 2020/02/19 - 13:57:44 | 200 |     572.697µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 13:57:44 | 200 |      85.622µs |       127.0.0.1 | GET      /css/dashboard.css
[GIN] 2020/02/19 - 13:57:44 | 304 |      94.608µs |       127.0.0.1 | GET      /js/jquery.slim.min.js
[GIN] 2020/02/19 - 13:57:44 | 304 |      64.848µs |       127.0.0.1 | GET      /js/popper.min.js
[GIN] 2020/02/19 - 13:57:44 | 304 |     150.373µs |       127.0.0.1 | GET      /js/popper.min.js.map
[GIN-debug] [WARNING] Headers were already written. Wanted to override status code 200 with 500
[GIN] 2020/02/19 - 14:00:53 | 500 |    3.623935ms |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:01:56 | 200 |     469.517µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:01:56 | 304 |     159.847µs |       127.0.0.1 | GET      /js/popper.min.js
[GIN] 2020/02/19 - 14:01:56 | 304 |     169.126µs |       127.0.0.1 | GET      /js/jquery.slim.min.js
[GIN] 2020/02/19 - 14:01:56 | 304 |     153.376µs |       127.0.0.1 | GET      /js/popper.min.js.map
[GIN] 2020/02/19 - 14:09:14 | 500 |     2.17831ms |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:10:09 | 200 |     446.229µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:10:09 | 304 |     119.728µs |       127.0.0.1 | GET      /js/jquery.slim.min.js
[GIN] 2020/02/19 - 14:10:09 | 304 |     118.633µs |       127.0.0.1 | GET      /js/popper.min.js
[GIN] 2020/02/19 - 14:10:09 | 304 |     235.726µs |       127.0.0.1 | GET      /js/popper.min.js.map
[GIN] 2020/02/19 - 14:11:09 | 200 |     651.708µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:13:15 | 200 |     776.111µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:13:15 | 304 |      81.767µs |       127.0.0.1 | GET      /js/jquery.slim.min.js
[GIN] 2020/02/19 - 14:13:15 | 304 |      34.771µs |       127.0.0.1 | GET      /js/popper.min.js
[GIN] 2020/02/19 - 14:13:15 | 304 |      96.591µs |       127.0.0.1 | GET      /js/popper.min.js.map
[GIN] 2020/02/19 - 14:13:18 | 200 |     697.798µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:13:37 | 200 |    1.927232ms |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:14:49 | 200 |      421.59µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:15:52 | 200 |     606.031µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:15:52 | 304 |      79.404µs |       127.0.0.1 | GET      /js/jquery.slim.min.js
[GIN] 2020/02/19 - 14:15:52 | 304 |     185.351µs |       127.0.0.1 | GET      /js/popper.min.js
[GIN] 2020/02/19 - 14:15:53 | 304 |      90.594µs |       127.0.0.1 | GET      /js/popper.min.js.map
[GIN] 2020/02/19 - 14:17:06 | 200 |    1.539503ms |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:18:21 | 200 |     976.073µs |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:18:23 | 200 |    1.092404ms |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:18:36 | 200 |    1.772033ms |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:18:36 | 304 |     145.093µs |       127.0.0.1 | GET      /js/popper.min.js.map
[GIN] 2020/02/19 - 14:21:49 | 200 |    1.090735ms |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:21:49 | 304 |      73.168µs |       127.0.0.1 | GET      /js/jquery.slim.min.js
[GIN] 2020/02/19 - 14:21:49 | 304 |      71.744µs |       127.0.0.1 | GET      /js/popper.min.js
[GIN] 2020/02/19 - 14:21:49 | 304 |      62.895µs |       127.0.0.1 | GET      /js/popper.min.js.map
[GIN] 2020/02/19 - 14:22:33 | 200 |    1.149121ms |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:22:44 | 200 |    1.556915ms |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:23:00 | 200 |    1.104204ms |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:23:01 | 200 |    1.029609ms |       127.0.0.1 | GET      /
[GIN] 2020/02/19 - 14:23:06 | 200 |     514.816µs |       127.0.0.1 | GET      /
